# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	1776
#@/user_id	10eb7508-e167-4823-8968-7521df318d50
jie2 tu2 	截圖	c=2 d=1.99005 t=998
jie3 	姐	c=0 d=0.1 t=1378
jie3 fang4 	解放	c=1 d=1 t=230
jie3 jue2 	解決	c=3 d=1.67247 t=1086
jie3 yue1 	解約	c=1 d=1 t=865
jie4 shao4 	介紹	c=2 d=1.56553 t=505
jin1 	金	c=1 d=1 t=213
jin1 ri4 	今日	c=0 d=0.1 t=375
jin1 ri4 tou2 tiao2 	今日頭條	c=1 d=1 t=376
jin1 rong2 	金融	c=0 d=0.1 t=1405
jin1 tian1 	今天	c=1 d=1 t=1494
jin4 	近	c=1 d=1 t=1265
jin4 xing2 	進行	c=1 d=1 t=536
jing1 	精	c=0 d=0.1 t=1110
jing1 chang2 	經常	c=1 d=1 t=697
jing1 dong1 	京東	c=3 d=1.77419 t=538
jing1 ji4 	經濟	c=2 d=1.86936 t=189
jing1 ying1 	精英	c=1 d=1 t=1429
jing3 cha2 	警察	c=1 d=1 t=296
jing4 tou2 	鏡頭	c=1 d=1 t=166
jiu4 	就	c=6 d=1.1099 t=1690
jiu4 shi4 	就是	c=2 d=1.09827 t=1149
ju4 	據	c=0 d=0.1 t=1672
ju4 liao3 jie3 	據瞭解	c=0 d=0.1 t=1652
jue2 de5 	覺得	c=2 d=1.01222 t=1223
kai1 che1 	開車	c=1 d=1 t=1238
kai1 fang4 	開放	c=1 d=1 t=591
kan1 dao4 	看到	c=1 d=1 t=845
kan1 de2 	看得	c=1 d=1 t=1162
kan1 guo4 	看過	c=1 d=1 t=1174
kan1 kan1 	看看	c=1 d=1 t=1466
kan1 wo3 	看我	c=1 d=1 t=1540
kan4 	看	c=0 d=0.1 t=559
kan4 bu4 liao3 	看不了	c=1 d=1 t=560
kan4 bu5 shang4 	看不上	c=1 d=1 t=1439
ke1 lin2 si1 	柯林斯	c=1 d=1 t=1295
ke3 	可	c=0 d=0.142741 t=884
ke3 da3 yin4 	可打印	c=1 d=1 t=885
ke3 hai2 xing2 	可還行	c=1 d=1 t=715
ke3 neng2 	可能	c=4 d=2.54968 t=1159
ke3 shi4 	可是	c=1 d=1 t=800
ke3 xi2 	可惜	c=1 d=1 t=1720
ke3 yi3 	可以	c=19 d=3.17147 t=1636
ke3 yi3 jiao4 	可以叫	c=1 d=1 t=1278
ken3 ding4 	肯定	c=1 d=1 t=1525
kou3 hao2 	口號	c=1 d=1 t=292
kua1 zhang1 	誇張	c=1 d=1 t=1249
kuai4 	塊	c=1 d=1 t=1153
kuai4 jie2 	快捷	c=2 d=1.52729 t=637
kuai4 jie2 jian4 	快捷鍵	c=1 d=1 t=568
kuai4 le4 	快樂	c=1 d=1 t=1483
kuang4 ke4 ji4 lu4 	曠課記錄	c=0 d=0.1 t=1652
la1 dao3 	拉倒	c=0 d=0.1 t=447
la1 dao3 ba1 	拉倒吧	c=1 d=1 t=448
lai2 	來	c=2 d=0.104448 t=1745
lao3 	佬	c=0 d=0.1 t=1536
lao3 tai4 tai5 	老太太	c=1 d=1 t=1396
lao3 tou2 	老頭	c=1 d=1 t=1395
le5 	了	c=31 d=3.12894 t=1763
lei4 xing2 	類型	c=1 d=1 t=1261
leng3 jing4 	冷靜	c=1 d=1 t=63
li3 	裏	c=0 d=0.1 t=99
li3 da4 zhao1 	李大釗	c=1 d=1 t=1329
li3 jie3 	理解	c=1 d=1 t=1626
li3 ke4 qiang2 	李克強	c=1 d=1 t=1678
li3 xiang3 	理想	c=1 d=1 t=135
li3 you2 	理由	c=1 d=1 t=957
li4 hai4 	厲害	c=1 d=1 t=766
li4 liang5 	力量	c=2 d=1.94176 t=77
li4 shi3 	歷史	c=1 d=1 t=840
lian2 jie1 	連接	c=1 d=1 t=971
lian2 xi4 ren2 	聯繫人	c=1 d=1 t=639
lian4 	鏈	c=0 d=0.1 t=171
lian4 jie1 	鏈接	c=2 d=1.00775 t=1582
liang2 	量	c=1 d=1 t=385
liang2 yi1 	良醫	c=1 d=1 t=386
liang3 da4 	兩大	c=0 d=0.1 t=1536
liang3 da4 lao3 	兩大佬	c=1 d=1 t=1537
liang3 ge4 	兩個	c=1 d=1 t=276
liang3 san1 	兩三	c=0 d=0.1 t=1272
liang3 san1 nian2 	兩三年	c=1 d=1 t=1273
liao2 tian1 	聊天	c=1 d=1 t=1590
liao3 jie3 yi1 xia4 	瞭解一下	c=1 d=1 t=1221
lin2 	林	c=0 d=0.1 t=1405
lin2 ru2 peng2 	林如鵬	c=1 d=1 t=258
lin4 se4 	吝嗇	c=1 d=1 t=1101
ling3 dao3 	領導	c=1 d=1 t=115
ling4 wai4 	另外	c=2 d=1.08982 t=1629
liu2 lan3 qi4 	瀏覽器	c=2 d=1.42105 t=768
liu4 ji2 	六級	c=2 d=1.9802 t=1305
lu3 bin1 xun4 	魯濱遜	c=2 d=1.84366 t=513
lu4 	路	c=1 d=1 t=232
lu4 shang4 	路上	c=2 d=1.65377 t=184
luan4 	亂	c=1 d=1 t=148
lun4 tan2 	論壇	c=3 d=1.0789 t=854
